Latitude;Longitude;Naam;Stad;Hoofdinstelling;Aantal locaties ;Hoofdlocatie;Aantal bedden;Opmerking bedden;Eerste poliklinische bezoeken (2018);Eerste poliklinische bezoeken (2022);Dagbehandelingen;Klinische opnames;Aantal medewerkers;Verzorgingsgebied;Sanquin uitwisseling;Partner [Ja/Nee];Contract datum;Straat;Nummer;Postcode;Type instelling;Type ziekenhuis;Aantal locaties norm.;Aantal bedden norm.;Eerste poliklinische bezoeken (2023) norm.;Dagbehandelingen norm.;Klinische opnames norm.;Aantal medewerkers norm.;Sanquin uitwisseling norm.;Som;Som norm.;Website
51,7636847;5,5314135;Organon Pharma BV - Oss;Oss;Organon Pharma BV;2;-;;;;;;;;;;Nee;;Kloosterstraat;6;5349 AB;Farmaceut;;;;;;;;;;;
51,9429098;4,4601221;Pathan B.V. (Franciscus Gasthuis);Rotterdam;;0;-;;;;;;;;;;Nee;;Kleiweg;500;3045 PM;Laboratorium;;;;;;;;;;;
51,9139403;4,5418627;Pfizer;Capelle aan de Ijsel;Pfizer;1;-;;;;;;;;;;Nee;;Rivium Westlaan;142;2909 LD;Farmaceut;;;;;;;;;;;https://www.pfizer.nl/
52,1630758;4,475969;Pharming Group N.V.;Leiden;Pharming Group N.V.;1;-;;;;;;;;;;Nee;;Vondellaan;47;2332 AA;Farmaceut;;;;;;;;;;;https://www.pharming.com/nl
52,6192729;4,7626474;Plurifarm - Alkmaar;Alkmaar;Plurifarm;1;;;;;;;;;;;Nee;;Phoenixstraat;21;1812 PP;Groothandel;;;;;;;;;;;
52,6500072;4,7395192;PoliDirect - Alkmaar;Alkmaar;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,3561949;4,9939231;PoliDirect - Amsterdam Ijburg;Amsterdam;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,39123;4,9411379;PoliDirect - Amsterdam Noord;Amsterdam;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,3736752;4,8340833;PoliDirect - Amsterdam West;Amsterdam;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,5750123;4,7649755;PoliDirect - Breda;Breda;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,8130323;4,6771266;PoliDirect - Dordrecht;Dordrecht;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,4423285;5,4407924;PoliDirect - Eindhoven;Eindhoven;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,2349991;6,5900389;PoliDirect - Goor;Goor;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,3471679;4,6266001;PoliDirect - Heemstede;Heemstede;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,0273278;5,080874;PoliDirect - Niewegein;Nieuwegein;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,7945671;5,6381129;PoliDirect - Ravenstein;Ravenstein;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,8284518;4,7770614;PoliDirect - Sliedrecht;Sliedrecht;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,5549292;5,1031946;PoliDirect - Tilburg;Tilburg;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,5145337;6,1213338;PoliDirect - Zwolle;Zwolle;PoliDirect;14;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
